                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.74928,                0.43818,                0.98111,                0.95255,                0.90057,                0.94989,                0.73364,                0.80803,                0.48341,                 1.0306,              0.0092971,              0.0092971,              0.0092971
                     73,                0.74723,                0.43648,                 0.9835,                0.95644,                0.91247,                0.96335,                0.73724,                0.80256,                0.46501,                 1.0454,              0.0092872,              0.0092872,              0.0092872
                     74,                0.75606,                0.43554,                0.98612,                0.95031,                 0.9291,                0.96766,                 0.7454,                0.80136,                0.43833,                 1.0311,              0.0092773,              0.0092773,              0.0092773
                     75,                0.74443,                0.42804,                0.98212,                0.96488,                0.91882,                0.96017,                0.74945,                 0.7699,                0.43573,                  1.007,              0.0092674,              0.0092674,              0.0092674
                     76,                0.74254,                0.43329,                0.97875,                0.97057,                0.91653,                0.96734,                 0.7479,                 0.7817,                0.42816,                 1.0164,              0.0092575,              0.0092575,              0.0092575
                     77,                0.74092,                 0.4295,                 0.9693,                0.94696,                0.91768,                0.96814,                0.74304,                0.80101,                 0.4347,                 1.0268,              0.0092476,              0.0092476,              0.0092476
                     78,                0.74212,                0.43164,                0.98151,                0.94642,                0.94026,                0.96512,                0.75148,                0.78228,                0.44426,                 1.0247,              0.0092377,              0.0092377,              0.0092377
                     79,                 0.7343,                0.42306,                0.97584,                0.94565,                0.92579,                 0.9675,                0.74408,                0.78524,                0.42441,                 1.0242,              0.0092278,              0.0092278,              0.0092278
                     80,                0.73651,                0.42952,                0.97668,                 0.9617,                 0.9215,                0.97577,                0.75715,                0.76174,                0.43039,                 1.0152,              0.0092179,              0.0092179,              0.0092179
                     81,                0.74338,                0.42532,                0.97827,                0.95597,                0.91128,                0.96241,                0.74792,                0.77315,                0.43388,                 1.0084,               0.009208,               0.009208,               0.009208
                     82,                0.73543,                0.43065,                0.98211,                0.96507,                 0.9116,                0.97019,                0.74788,                0.79275,                0.43435,                 1.0208,              0.0091981,              0.0091981,              0.0091981
                     83,                0.73147,                0.42768,                0.97337,                0.95702,                0.90811,                0.95621,                0.74188,                0.77255,                 0.4324,                 1.0088,              0.0091882,              0.0091882,              0.0091882
                     84,                0.73885,                0.42703,                0.97365,                0.96544,                0.91313,                0.96795,                0.74878,                0.78191,                0.42669,                 1.0131,              0.0091783,              0.0091783,              0.0091783
                     85,                0.72936,                 0.4216,                0.98163,                0.96377,                 0.9163,                0.96948,                0.74871,                0.77455,                 0.4166,                  1.008,              0.0091684,              0.0091684,              0.0091684
                     86,                0.72054,                0.41527,                0.96801,                0.97023,                0.91696,                0.97257,                0.75897,                0.76859,                0.41279,                 1.0025,              0.0091585,              0.0091585,              0.0091585
                     87,                 0.7276,                0.41635,                0.96823,                0.96656,                0.90811,                 0.9708,                0.76133,                0.75111,                0.41464,                0.99224,              0.0091486,              0.0091486,              0.0091486
                     88,                0.71724,                0.41695,                0.97084,                0.96948,                0.92549,                0.97194,                0.75189,                0.78735,                0.43241,                 1.0137,              0.0091387,              0.0091387,              0.0091387
                     89,                0.72407,                0.41463,                 0.9735,                0.96127,                0.90028,                0.96692,                0.74514,                0.79885,                0.43534,                  1.023,              0.0091288,              0.0091288,              0.0091288
                     90,                0.70981,                0.40678,                0.96004,                 0.9555,                0.91392,                0.97658,                0.76154,                 0.7541,                0.43033,                 1.0004,              0.0091189,              0.0091189,              0.0091189
                     91,                0.71616,                0.41353,                 0.9687,                0.95491,                0.90009,                0.96912,                0.75887,                0.76097,                0.42998,                0.99611,               0.009109,               0.009109,               0.009109
                     92,                0.71596,                0.40848,                0.96382,                0.95374,                0.92165,                0.97357,                0.76326,                0.75678,                0.41857,                 1.0071,              0.0090991,              0.0090991,              0.0090991
                     93,                0.70812,                 0.4047,                0.95778,                0.94107,                0.92318,                0.96294,                0.76026,                0.76088,                0.41956,                 1.0093,              0.0090892,              0.0090892,              0.0090892
                     94,                0.71237,                 0.4118,                0.96273,                0.94876,                0.90559,                0.97116,                0.75061,                0.75888,                0.43188,                 1.0063,              0.0090793,              0.0090793,              0.0090793
                     95,                0.71695,                0.41311,                0.96421,                0.96496,                0.91827,                0.97833,                0.76207,                0.76531,                0.40633,                 1.0071,              0.0090694,              0.0090694,              0.0090694
                     96,                0.70062,                0.40352,                0.95792,                0.96745,                0.90976,                0.96657,                0.76201,                0.75204,                0.41108,                 1.0012,              0.0090595,              0.0090595,              0.0090595
                     97,                0.70371,                0.40653,                0.96436,                 0.9532,                 0.9163,                0.96956,                0.76762,                 0.7479,                0.41653,                 1.0062,              0.0090496,              0.0090496,              0.0090496
                     98,                 0.7027,                0.40505,                0.95666,                0.96349,                0.92971,                0.97246,                0.76371,                0.76005,                0.40623,                 1.0179,              0.0090397,              0.0090397,              0.0090397
                     99,                 0.6988,                 0.4042,                0.95799,                0.95448,                0.93415,                0.97241,                0.76198,                0.73117,                 0.4106,                0.99616,              0.0090298,              0.0090298,              0.0090298
                    100,                0.69798,                0.40118,                0.95562,                0.95801,                0.92782,                0.97641,                0.76886,                0.74351,                0.41022,                 1.0015,              0.0090199,              0.0090199,              0.0090199
                    101,                0.70569,                0.40735,                 0.9603,                0.96333,                0.91882,                0.97316,                0.75421,                0.75438,                 0.4163,                0.99562,                0.00901,                0.00901,                0.00901
                    102,                0.70219,                0.39735,                0.96091,                0.94498,                0.92318,                0.96718,                0.76111,                0.72116,                0.41037,                0.98768,              0.0090001,              0.0090001,              0.0090001
                    103,                0.69511,                0.40191,                0.95145,                0.94318,                0.92026,                 0.9674,                 0.7573,                0.75754,                 0.4174,                 1.0055,              0.0089902,              0.0089902,              0.0089902
                    104,                0.69457,                0.40069,                0.95676,                0.96363,                0.91994,                0.97797,                0.75655,                  0.763,                0.42214,                 1.0071,              0.0089803,              0.0089803,              0.0089803
                    105,                0.69707,                 0.4002,                0.95745,                0.94783,                0.93389,                0.97342,                0.76533,                0.74228,                0.40719,                 1.0084,              0.0089704,              0.0089704,              0.0089704
                    106,                0.69791,                0.40123,                0.95779,                0.94604,                0.91882,                0.95972,                0.76346,                0.73202,                0.41054,                0.98816,              0.0089605,              0.0089605,              0.0089605
                    107,                0.69035,                0.39571,                0.95286,                0.95681,                0.92246,                0.96524,                0.75846,                0.73604,                0.40133,                0.99984,              0.0089506,              0.0089506,              0.0089506
                    108,                 0.6877,                0.40003,                0.95484,                0.93222,                0.93442,                0.97667,                 0.7698,                0.73328,                0.39626,                0.99776,              0.0089407,              0.0089407,              0.0089407
                    109,                0.68744,                0.39569,                0.95354,                0.96979,                0.91186,                0.97484,                0.77542,                0.74266,                 0.4023,                  1.001,              0.0089308,              0.0089308,              0.0089308
                    110,                 0.6993,                0.39873,                0.95656,                0.96584,                0.93424,                  0.973,                0.77208,                0.74399,                0.41318,                 1.0047,              0.0089209,              0.0089209,              0.0089209
                    111,                0.68282,                0.39362,                 0.9452,                0.96419,                0.92228,                0.97461,                0.76831,                0.72479,                 0.4027,                0.99633,               0.008911,               0.008911,               0.008911
                    112,                0.68669,                 0.3928,                0.94544,                0.97028,                0.91882,                0.98012,                0.76975,                0.74248,                0.40969,                 1.0015,              0.0089011,              0.0089011,              0.0089011
                    113,                 0.6857,                0.39484,                0.95407,                0.95836,                0.92142,                0.97956,                0.78073,                0.72186,                0.38933,                0.98732,              0.0088912,              0.0088912,              0.0088912
                    114,                0.68307,                0.39067,                0.95053,                0.95269,                0.92384,                  0.976,                0.77353,                0.71395,                0.39718,                0.98266,              0.0088813,              0.0088813,              0.0088813
                    115,                0.68345,                0.39059,                0.95233,                0.95312,                0.92815,                0.98144,                0.77783,                0.71646,                0.40408,                0.98407,              0.0088714,              0.0088714,              0.0088714
                    116,                0.67667,                0.38578,                0.95096,                0.97035,                0.91838,                0.98184,                0.77334,                0.71703,                0.39697,                0.98577,              0.0088615,              0.0088615,              0.0088615
                    117,                0.67592,                0.38727,                0.94418,                0.96973,                 0.9266,                0.97713,                0.77634,                0.72833,                0.39466,                0.98344,              0.0088516,              0.0088516,              0.0088516
                    118,                0.67923,                0.38402,                0.95027,                0.95259,                0.92635,                0.97918,                 0.7708,                0.75514,                0.39355,                  1.007,              0.0088417,              0.0088417,              0.0088417
                    119,                0.67289,                0.38644,                0.95157,                0.96301,                0.92052,                0.98337,                0.78001,                0.72672,                0.39459,                0.98511,              0.0088318,              0.0088318,              0.0088318
                    120,                0.68099,                0.38978,                0.95382,                0.93619,                0.93072,                0.97626,                0.77273,                0.71757,                0.39772,                 0.9899,              0.0088219,              0.0088219,              0.0088219
                    121,                0.67626,                0.38469,                0.94649,                0.92119,                 0.9409,                0.97014,                0.76704,                0.71632,                0.40477,                0.98535,               0.008812,               0.008812,               0.008812
                    122,                0.67312,                0.38062,                0.94044,                0.95238,                0.92222,                0.97466,                0.77093,                0.73037,                0.39558,                0.99181,              0.0088021,              0.0088021,              0.0088021
                    123,                0.67741,                0.38527,                0.95414,                0.96055,                0.91775,                0.97618,                0.77336,                0.73593,                0.39864,                0.99245,              0.0087922,              0.0087922,              0.0087922
                    124,                0.67094,                0.38137,                0.94445,                0.96347,                0.91882,                0.97641,                0.77122,                0.73134,                0.40094,                0.99739,              0.0087823,              0.0087823,              0.0087823
                    125,                0.67239,                0.38406,                0.94304,                0.95729,                0.92541,                0.97039,                0.77288,                0.73912,                0.39569,                 1.0024,              0.0087724,              0.0087724,              0.0087724
                    126,                0.66904,                0.38003,                0.94468,                0.95969,                0.92518,                0.97445,                0.77407,                0.72954,                0.40196,                 1.0009,              0.0087625,              0.0087625,              0.0087625
