                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.58749,                0.34049,                0.91208,                0.93114,                 0.9446,                0.97397,                 0.7837,                0.69446,                0.35871,                0.98238,               0.008911,               0.008911,               0.008911
                    112,                0.59243,                0.33732,                0.91489,                0.95528,                0.94864,                0.98026,                0.78816,                0.67684,                0.34945,                0.97695,              0.0089011,              0.0089011,              0.0089011
                    113,                 0.5935,                0.33916,                0.92109,                 0.9549,                0.94293,                0.97458,                0.78489,                 0.7053,                0.36926,                0.98799,              0.0088912,              0.0088912,              0.0088912
                    114,                0.59059,                0.33893,                0.91729,                0.95767,                0.93701,                0.97892,                0.79266,                0.69407,                0.35871,                0.99087,              0.0088813,              0.0088813,              0.0088813
                    115,                0.58798,                0.33532,                0.91641,                0.94378,                0.96607,                0.97541,                0.79824,                0.68443,                0.35004,                0.97265,              0.0088714,              0.0088714,              0.0088714
                    116,                0.58476,                0.33298,                0.91752,                0.95104,                0.94711,                0.97083,                0.78588,                0.67833,                0.35782,                0.97006,              0.0088615,              0.0088615,              0.0088615
                    117,                0.58704,                0.33493,                0.91038,                0.94369,                 0.9459,                0.97411,                0.78836,                 0.6841,                0.36264,                 0.9698,              0.0088516,              0.0088516,              0.0088516
                    118,                0.59308,                0.33428,                0.91873,                0.95833,                0.93706,                0.97966,                0.79746,                0.66445,                0.35538,                0.96361,              0.0088417,              0.0088417,              0.0088417
                    119,                0.58377,                  0.336,                0.91649,                0.95367,                 0.9599,                0.97449,                0.79978,                0.66881,                0.35482,                0.96442,              0.0088318,              0.0088318,              0.0088318
                    120,                0.59157,                0.33515,                0.91974,                0.95418,                0.96531,                0.97425,                0.80612,                0.64641,                0.34629,                0.95981,              0.0088219,              0.0088219,              0.0088219
                    121,                0.58559,                0.33477,                0.91227,                0.95419,                0.93182,                 0.9748,                0.79259,                0.66493,                0.35232,                0.96429,               0.008812,               0.008812,               0.008812
                    122,                0.57741,                0.33052,                0.90494,                0.96272,                0.95969,                0.97983,                0.79328,                0.68283,                0.35167,                0.97059,              0.0088021,              0.0088021,              0.0088021
                    123,                0.57733,                0.33318,                0.91616,                0.95433,                0.95199,                0.97989,                0.80366,                0.69601,                0.35938,                0.98018,              0.0087922,              0.0087922,              0.0087922
                    124,                0.57489,                0.32939,                0.91026,                0.95605,                0.95249,                0.97869,                 0.8031,                0.67486,                0.34791,                0.96766,              0.0087823,              0.0087823,              0.0087823
                    125,                 0.5794,                0.33214,                0.90913,                0.94899,                0.95531,                0.98117,                 0.8065,                0.67673,                0.35829,                0.97151,              0.0087724,              0.0087724,              0.0087724
                    126,                0.57898,                0.33029,                 0.9137,                0.96285,                0.96351,                0.98119,                0.79864,                0.68926,                0.35643,                0.97548,              0.0087625,              0.0087625,              0.0087625
                    127,                0.57781,                0.33169,                0.91158,                0.95086,                0.96209,                 0.9805,                0.80099,                0.68558,                 0.3467,                0.96764,              0.0087526,              0.0087526,              0.0087526
                    128,                0.58146,                 0.3338,                0.91424,                 0.9507,                 0.9588,                0.97964,                0.79291,                0.69339,                0.34623,                0.97892,              0.0087427,              0.0087427,              0.0087427
                    129,                 0.5782,                0.33232,                0.91377,                0.95667,                0.94966,                0.97673,                 0.8001,                0.67094,                0.35879,                0.97032,              0.0087328,              0.0087328,              0.0087328
                    130,                0.57793,                0.33176,                0.91204,                0.94935,                 0.9502,                0.97779,                0.79517,                0.67566,                0.35723,                0.98047,              0.0087229,              0.0087229,              0.0087229
                    131,                0.57967,                0.33218,                0.91168,                0.94753,                0.96822,                  0.982,                0.79879,                0.68347,                 0.3513,                0.98398,               0.008713,               0.008713,               0.008713
                    132,                0.56406,                0.32481,                0.90999,                0.95306,                0.95826,                0.98146,                0.80545,                0.67911,                0.34445,                0.99038,              0.0087031,              0.0087031,              0.0087031
                    133,                0.56845,                0.32591,                0.90636,                0.95229,                0.95625,                0.97955,                0.80394,                 0.6785,                 0.3449,                  0.989,              0.0086932,              0.0086932,              0.0086932
                    134,                0.56998,                0.32691,                0.90826,                0.94571,                 0.9529,                0.98116,                0.80215,                0.67509,                0.35185,                0.97709,              0.0086833,              0.0086833,              0.0086833
                    135,                0.56684,                0.32269,                0.90699,                0.94485,                0.96099,                0.98303,                 0.8043,                0.66655,                  0.344,                0.97312,              0.0086734,              0.0086734,              0.0086734
                    136,                0.56301,                 0.3244,                0.90909,                0.96388,                0.94209,                0.98416,                0.80671,                0.64895,                 0.3429,                0.96023,              0.0086635,              0.0086635,              0.0086635
                    137,                0.56464,                0.32123,                0.90784,                0.95278,                 0.9578,                0.98501,                0.80634,                0.65787,                0.33421,                0.96383,              0.0086536,              0.0086536,              0.0086536
                    138,                0.56628,                0.32141,                0.90524,                0.96252,                0.95164,                0.98357,                 0.8029,                0.67786,                0.33537,                 0.9721,              0.0086437,              0.0086437,              0.0086437
